theta	vel_limit	forward	backward	final
0.62925	2.2417432409549813	2.390325756916836	2.2417432409549813	2.2417432409549813
0.6295	2.2383585257826697	2.384449283944127	2.2383585257826697	2.2383585257826697
0.62975	2.2349885605907636	2.3785621750508534	2.2349885605907636	2.2349885605907636
0.63	2.2316332599855953	2.3726642517830783	2.2316332599855953	2.2316332599855953
0.63025	2.228292539216972	2.366755333269743	2.228292539216972	2.228292539216972
0.6305	2.224966314191682	2.360835236175788	2.224966314191682	2.224966314191682
0.63075	2.2216545014648745	2.354903774643889	2.2216545014648745	2.2216545014648745
0.631	2.218357018231465	2.348960760234533	2.218357018231465	2.218357018231465
0.63125	2.2150737823169955	2.343006001864222	2.2150737823169955	2.2150737823169955
0.6315	2.2118047121672326	2.3370393057413255	2.2118047121672326	2.2118047121672326
0.63175	2.2085497268689296	2.3310604753143265	2.2085497268689296	2.2085497268689296
0.632	2.205308746105831	2.325069311188819	2.205308746105831	2.205308746105831
0.63225	2.20208169018032	2.319065611072492	2.20208169018032	2.20208169018032
0.6325	2.1988684799987546	2.3130491697014395	2.1988684799987546	2.1988684799987546
0.63275	2.1956690370583893	2.3070197787654454	2.1956690370583893	2.1956690370583893
0.633	2.192483283465821	2.3009772268452098	2.192483283465821	2.192483283465821
0.63325	2.1893111418947218	2.294921299319964	2.1893111418947218	2.1893111418947218
0.6335	2.186152535610417	2.2888517783031395	2.186152535610417	2.186152535610417
0.63375	2.1830073884606302	2.282768442560368	2.1830073884606302	2.1830073884606302
0.634	2.1798756248482247	2.276671067416713	2.1798756248482247	2.1798756248482247
0.63425	2.1767571697634827	2.2705594246887744	2.1767571697634827	2.1767571697634827
0.6345	2.1736519487405195	2.264433282579195	2.1736519487405195	2.1736519487405195
0.63475	2.17055988786657	2.258292405592994	2.17055988786657	2.17055988786657
0.635	2.167480913787453	2.2521365544490286	2.167480913787453	2.167480913787453
0.63525	2.1644149536980386	2.245965485981981	2.1644149536980386	2.1644149536980386
0.6355	2.161361935329369	2.2397789530394308	2.161361935329369	2.161361935329369
0.63575	2.158321786934483	2.233576704375486	2.158321786934483	2.158321786934483
0.636	2.1552944373167215	2.227358484560538	2.1552944373167215	2.1552944373167215
0.63625	2.15227981579426	2.2211240338583216	2.15227981579426	2.15227981579426
